						
						
						
						
						
						
vylít	výlev					
zachvět	záchvěv					
V-ít	N-iv					
sesout	sesuv					
V-at	N-ej		prodej, výdej			
V-at	N-el		koupel			
sklidit	sklizeň					
V-ovat	N-kce		konstrukce			
V-ovat	N-ice		investice			
V-ovat	N-ace		bonifikace			
V-hovat	N-kce		kontrakce			
V-ktovat	N-xe		reflexe			
V-ovat	N-ing		parking			
V-ovat	N-ink		parkink			
D-a	A-ejší		včerejší			
A-ejší	N-ejšek		včerejšek			
D-s	A-šní		dnešní			
A-šní	N-šek		dnešek			
D-e	A-ější		dřívější			
A-ější	N-ějšek		nynějšek, dřívějšek			
D-í	A-ější		nynější			
A-í	N-ek		vnějšek			
D-ě	A-ější		vnější			
C-	N-ka		pětka, šestka, padesátka			
jedna	jednotka					
jedna	jednička					
dva	dvojka					
tři	trojka					
čtyři	čtyřka					
C-et	N-ítka		dvacítka			
C-	N-ina		pětina			
třetí	třetina					
čtvrtý	čtvrtina					
sto	setina					
C-	N-tina		miliontina			
půl	polovina					
půl	půlka					
čtvrt	čtvrtka					
C-jí	N-jice		dvojice			
čtverý	čtveřice					
C-	N-ice		pětice			
mnoho	množina					
prvý	prvák					
první	prvňák					
druhý	druhák					
C-tý	N-ťák					
třetí	třeťák					
N-a	N-ání		primán, sekundán			
C-t	N-tiny		dvacetiny			
C-átý	N-átník		třicátník			
C-t	N-tník		dvacetník, padesátník			
N-	A-ův		pánův			
N-a	A-ův		předsedův			
N?	A-ův		Karlův, pejskův			
N-a	A-ovský		nerudovský		ZMENŠENÍ POČÁTEČNÍHO PÍSMENE	
N-ek	A-kovský		janáčkovský		ZMENŠENÍ POČÁTEČNÍHO PÍSMENE	
N-ka	A-čin		matčin			
N-ra	A-řin		Věřin, dceřin			
N-ka	A-čin		Micčin			
N-a	A-in		ženin			
N-k	A-čí		račí			
N-ek	A-čí		racčí			
N-ce	A-čí		ovčí			
N-a	A-í		krevetí			
N-ík	A-ičí		králičí			
N-	A-í		hadí			
N-ra	A-ří		vydří, kobří			
N-ch	A-ší		hroší			
N-ě	A-ěčí		jehněčí			
N-e	A-ečí		prasečí			
N-e	A-ecí		telecí			
N-h	A-ží		pstruží			
kráva	kravský					
kůň	koňský					
vepř	vepřový					
N-k	A-cký		lajdácký			
N-	A-ský		snobský, panský, sousedský			
N-c	A-cký		chlapecký, německý		ZMENŠENÍ POČÁTEČNÍHO PÍSMENE	
N-a	N-ský		ženský, husitský			
matka	mateřský					
dcera	dceřiný					
N-ha	A-hovský		slouhovský			
N-ec	A-covský		otcovský			
N-a	A-ovský		slečinkovský			
N-	A-ovský		špiclovský, židovský			
N-ce	A-covský		zrádcovský			
sirotek	sirotčí					
člověk	lidský					
člověk	člověčí					
hrabě	hraběcí					
kníže	knížecí					
